PERMNO,date,TICKER,COMNAM,PRC,RET,CFACPR
22111,20050103,JNJ,JOHNSON & JOHNSON,62.90000,-0.008199,1
22111,20050104,JNJ,JOHNSON & JOHNSON,62.70000,-0.003180,1
22111,20050105,JNJ,JOHNSON & JOHNSON,62.66000,-0.000638,1
22111,20050106,JNJ,JOHNSON & JOHNSON,62.84000,0.002873,1
22111,20050107,JNJ,JOHNSON & JOHNSON,62.61000,-0.003660,1
22111,20050110,JNJ,JOHNSON & JOHNSON,63.10000,0.007826,1
22111,20050111,JNJ,JOHNSON & JOHNSON,62.88000,-0.003486,1
22111,20050112,JNJ,JOHNSON & JOHNSON,63.32000,0.006997,1
22111,20050113,JNJ,JOHNSON & JOHNSON,61.97000,-0.021320,1
22111,20050114,JNJ,JOHNSON & JOHNSON,62.70000,0.011780,1
22111,20050118,JNJ,JOHNSON & JOHNSON,63.03000,0.005263,1
22111,20050119,JNJ,JOHNSON & JOHNSON,62.82000,-0.003332,1
22111,20050120,JNJ,JOHNSON & JOHNSON,62.49000,-0.005253,1
22111,20050121,JNJ,JOHNSON & JOHNSON,61.85000,-0.010242,1
22111,20050124,JNJ,JOHNSON & JOHNSON,61.49000,-0.005820,1
22111,20050125,JNJ,JOHNSON & JOHNSON,63.72000,0.036266,1
22111,20050126,JNJ,JOHNSON & JOHNSON,64.65000,0.014595,1
22111,20050127,JNJ,JOHNSON & JOHNSON,64.22000,-0.006651,1
22111,20050128,JNJ,JOHNSON & JOHNSON,64.62000,0.006229,1
22111,20050131,JNJ,JOHNSON & JOHNSON,64.70000,0.001238,1
22111,20050201,JNJ,JOHNSON & JOHNSON,65.42000,0.011128,1
22111,20050202,JNJ,JOHNSON & JOHNSON,66.00000,0.008866,1
22111,20050203,JNJ,JOHNSON & JOHNSON,65.65000,-0.005303,1
22111,20050204,JNJ,JOHNSON & JOHNSON,66.24000,0.008987,1
22111,20050207,JNJ,JOHNSON & JOHNSON,66.45000,0.003170,1
22111,20050208,JNJ,JOHNSON & JOHNSON,66.33000,-0.001806,1
22111,20050209,JNJ,JOHNSON & JOHNSON,66.19000,-0.002111,1
22111,20050210,JNJ,JOHNSON & JOHNSON,66.13000,-0.000907,1
22111,20050211,JNJ,JOHNSON & JOHNSON,66.60000,0.011417,1
22111,20050214,JNJ,JOHNSON & JOHNSON,66.00000,-0.009009,1
22111,20050215,JNJ,JOHNSON & JOHNSON,65.91000,-0.001364,1
22111,20050216,JNJ,JOHNSON & JOHNSON,65.74000,-0.002579,1
22111,20050217,JNJ,JOHNSON & JOHNSON,65.35000,-0.005932,1
22111,20050218,JNJ,JOHNSON & JOHNSON,65.43000,0.001224,1
22111,20050222,JNJ,JOHNSON & JOHNSON,65.07000,-0.005502,1
22111,20050223,JNJ,JOHNSON & JOHNSON,65.41000,0.005225,1
22111,20050224,JNJ,JOHNSON & JOHNSON,65.89000,0.007338,1
22111,20050225,JNJ,JOHNSON & JOHNSON,66.22000,0.005008,1
22111,20050228,JNJ,JOHNSON & JOHNSON,65.60000,-0.009363,1
22111,20050301,JNJ,JOHNSON & JOHNSON,66.65000,0.016006,1
22111,20050302,JNJ,JOHNSON & JOHNSON,66.96000,0.004651,1
22111,20050303,JNJ,JOHNSON & JOHNSON,66.75000,-0.003136,1
22111,20050304,JNJ,JOHNSON & JOHNSON,67.74000,0.014831,1
22111,20050307,JNJ,JOHNSON & JOHNSON,68.44000,0.010334,1
22111,20050308,JNJ,JOHNSON & JOHNSON,68.19000,-0.003653,1
22111,20050309,JNJ,JOHNSON & JOHNSON,67.76000,-0.006306,1
