,Mkt-RF,SMB,HML,RMW,CMA,Rf
20130102,2.62,0.12,0.38,-0.64,0.01,1.86
20130103,-0.14,0.14,0.04,0.18,0.27,1.92
20130104,0.55,0.18,0.36,-0.36,0.24,1.93
20130107,-0.31,-0.12,-0.35,-0.1,-0.14,1.92
20130108,-0.27,0.04,0,-0.16,0.1,1.89
20130109,0.34,0.23,-0.4,-0.04,-0.18,1.88
20130110,0.66,-0.59,0.49,-0.19,0.06,1.91
20130111,0.02,0.05,-0.43,0.23,-0.21,1.89
20130114,-0.06,0.03,-0.05,-0.07,0.32,1.89
20130115,0.19,0.26,0,-0.09,0.06,1.86
20130116,-0.04,-0.25,0.23,-0.02,-0.02,1.84
20130117,0.61,0.4,-0.1,0.19,0,1.89
20130118,0.29,0.04,-0.09,0.18,0.25,1.87
20130122,0.48,0.21,0.44,-0.24,0.11,1.86
20130123,0.1,-0.35,-0.13,-0.14,-0.12,1.86
20130124,0.09,0.37,0.04,0.08,0.47,1.88
20130125,0.59,-0.14,-0.32,-0.16,-0.14,1.98
20130128,-0.14,0.38,0.15,-0.03,-0.02,2.00
20130129,0.36,-0.44,0.31,-0.12,0.33,2.03
20130130,-0.38,-0.85,0.16,-0.1,0,2.03
20130131,-0.08,0.71,0.17,-0.21,0.05,2.02
20130201,0.99,0.08,0.24,-0.26,-0.03,2.04
20130204,-1.19,-0.11,-0.17,0,-0.02,2.00
20130205,1.07,-0.04,0.14,-0.01,-0.1,2.04
20130206,0.15,0.29,0.14,-0.15,0.02,2.00
20130207,-0.15,-0.06,0.02,0.19,-0.02,1.99
20130208,0.58,0.03,-0.18,0.09,-0.45,1.99
20130211,-0.08,-0.02,0.38,-0.19,0.3,1.99
20130212,0.16,0.27,0.72,-0.56,0.46,2.02
20130213,0.14,0.07,0.01,0,-0.02,2.05
20130214,0.11,0.27,0.12,-0.36,-0.19,2.00
20130215,-0.11,0.02,-0.09,-0.03,0.16,2.01
20130219,0.74,0.25,0.15,-0.08,0.38,2.03
20130220,-1.36,-0.6,-0.61,0.29,0.1,2.02
20130221,-0.66,-0.29,-0.03,0.03,0.26,1.99
20130222,0.94,0.21,-0.04,-0.16,-0.09,1.97
20130225,-1.82,-0.24,-0.72,0.62,-0.38,1.88
20130226,0.58,-0.17,0.04,0.03,0.25,1.88
20130227,1.29,-0.32,0.15,-0.19,0.01,1.91
20130228,-0.05,0.12,-0.13,0.04,0,1.89
20130301,0.22,0.13,-0.3,-0.11,-0.02,1.86
20130304,0.47,-0.36,0.11,-0.37,0.48,1.88
20130305,1.01,0.15,-0.17,0.01,0.01,1.90
20130306,0.18,0.14,0.47,-0.22,0.13,1.95
20130307,0.27,0.21,0.43,-0.22,0.03,2.00
20130308,0.52,0.38,-0.16,0,-0.01,2.06
20130311,0.3,-0.28,0.26,0,0.03,2.07
20130312,-0.22,0.02,-0.18,0.27,0.07,2.03
20130313,0.2,0.23,0.14,0.08,0.27,2.04
20130314,0.58,0.41,0.4,-0.05,-0.04,2.04
20130315,-0.19,0.12,0.39,0.2,0.03,2.01
20130318,-0.5,0.12,-0.29,0.36,0.03,1.96
20130319,-0.24,-0.03,0.01,0.13,0.39,1.92
20130320,0.76,0.21,-0.01,-0.24,0.24,1.96
20130321,-0.85,0.14,-0.26,0.01,0.08,1.95
20130322,0.62,-0.48,-0.25,0.15,-0.1,1.93
20130325,-0.29,0.31,0.02,0.08,-0.03,1.93
20130326,0.76,-0.4,-0.21,0.1,-0.11,1.92
20130327,-0.02,0.09,-0.29,0.11,-0.13,1.87
20130328,0.39,-0.31,-0.27,-0.16,0.05,1.87
20130401,-0.57,-0.89,0.02,0.14,0.22,1.86
20130402,0.33,-0.88,-0.27,-0.1,0.04,1.88
20130403,-1.16,-0.39,-0.11,0.54,-0.15,1.83
20130404,0.42,0.24,0.26,-0.08,0.27,1.78
20130405,-0.41,0.08,0.31,-0.1,0.27,1.72
20130408,0.7,0.11,0.26,-0.36,0.14,1.76
20130409,0.31,-0.42,0.17,0,-0.38,1.78
20130410,1.28,0.62,-0.08,-0.09,-0.05,1.84
20130411,0.35,-0.19,-0.18,0.15,0.42,1.82
20130412,-0.28,-0.15,-0.45,0,0.02,1.75
20130415,-2.48,-1.46,-0.27,0.06,-0.03,1.72
20130416,1.47,0.16,0.08,-0.33,-0.08,1.75
20130417,-1.46,-0.33,-0.52,0.12,0.26,1.73
20130418,-0.71,0.19,-0.03,0.49,0.13,1.72
20130419,0.97,0.08,0.1,-0.33,0.2,1.73
20130422,0.45,-0.2,-0.13,0.23,-0.29,1.72
20130423,1.11,0.54,0.61,-0.51,0.28,1.74
20130424,0.06,0.49,1.15,-0.07,-0.19,1.73
20130425,0.49,0.19,-0.11,-0.06,-0.12,1.74
20130426,-0.2,-0.37,-0.24,0.08,0.14,1.70
20130429,0.67,0.07,-0.09,0.23,-0.36,1.70
20130430,0.29,0.36,-0.01,0.21,-0.31,1.70
20130501,-1.08,-1.45,-0.17,-0.03,-0.09,1.66
20130502,1.04,0.55,0.1,-0.49,-0.24,1.66
20130503,1.12,0.6,0.18,-0.21,-0.27,1.78
20130506,0.23,0.27,0.83,-0.52,0.11,1.80
20130507,0.54,0.17,0.15,0.22,0.28,1.82
20130508,0.44,-0.22,0.15,-0.06,-0.16,1.81
20130509,-0.31,0.06,-0.25,0.02,-0.21,1.81
20130510,0.54,0.4,-0.18,-0.3,-0.01,1.90
20130513,-0.02,-0.24,-0.04,-0.4,0.1,1.92
20130514,1.1,0.17,0.27,-0.21,0.14,1.96
20130515,0.51,-0.09,0.21,-0.05,0.33,1.94
20130516,-0.5,0.17,-0.25,0.11,-0.38,1.87
20130517,1.04,0.07,0.31,0.09,-0.14,1.95
20130520,-0.06,0.4,0.48,0.23,-0.2,1.97
20130521,0.16,-0.07,-0.06,0.2,0.22,1.94
20130522,-0.92,-0.68,-0.14,0.27,0.34,2.03
20130523,-0.19,0.48,-0.11,-0.02,0.09,2.02
20130524,-0.06,0.16,0.07,-0.07,0.01,2.01
20130528,0.77,0.67,0.23,-0.18,-0.15,2.15
20130529,-0.7,-0.26,0.59,-0.31,-0.31,2.13
20130530,0.5,0.36,0.48,-0.53,-0.03,2.13
20130531,-1.31,0.49,-0.26,0.2,-0.14,2.16
20130603,0.48,0.17,0.07,0.24,-0.08,2.13
20130604,-0.55,-0.27,-0.15,0.35,-0.07,2.14
20130605,-1.38,0.04,-0.24,0.15,-0.14,2.10
20130606,0.89,0.18,0.21,-0.52,0.35,2.08
20130607,1.3,-0.44,0.06,-0.28,-0.04,2.17
20130610,0.07,0.66,0.2,-0.23,-0.15,2.22
20130611,-1.04,-0.01,-0.57,0.45,0.01,2.20
20130612,-0.82,0.07,-0.05,0.24,0.18,2.25
20130613,1.47,0.14,0.34,-0.21,0.3,2.19
20130614,-0.59,-0.27,-0.57,0.21,-0.04,2.14
20130617,0.74,-0.07,0.12,-0.23,-0.32,2.19
20130618,0.8,0.37,-0.08,-0.01,0.01,2.20
20130619,-1.28,0.2,0.15,-0.07,-0.31,2.33
20130620,-2.45,0.06,0.4,0.06,-0.15,2.41
20130621,0.13,0.23,-0.07,-0.15,0.14,2.52
20130624,-1.19,0.04,-0.66,0.26,-0.13,2.57
20130625,0.96,0.05,0.81,-0.34,0.3,2.60
20130626,0.92,-0.71,-0.16,0.03,0.18,2.55
20130627,0.77,0.84,0.37,-0.46,0.3,2.49
20130628,-0.33,0.3,-0.13,0.15,-0.3,2.52
20130701,0.71,0.7,-0.12,-0.35,-0.01,2.50
20130702,-0.1,0.02,0.05,0.1,-0.09,2.48
20130703,0.11,0.16,-0.21,0.14,-0.08,2.52
20130705,1.11,0.4,0.47,-0.34,0.17,2.73
