PERMNO,date,TICKER,COMNAM,PRC,RET,CFACPR
14541,20130102,CVX,CHEVRON CORP NEW,110.39000,0.020806,1
14541,20130103,CVX,CHEVRON CORP NEW,109.92000,-0.004258,1
14541,20130104,CVX,CHEVRON CORP NEW,110.50000,0.005277,1
14541,20130107,CVX,CHEVRON CORP NEW,109.75000,-0.006787,1
14541,20130108,CVX,CHEVRON CORP NEW,109.26000,-0.004465,1
14541,20130109,CVX,CHEVRON CORP NEW,109.54000,0.002563,1
14541,20130110,CVX,CHEVRON CORP NEW,110.47000,0.008490,1
14541,20130111,CVX,CHEVRON CORP NEW,111.73000,0.011406,1
14541,20130114,CVX,CHEVRON CORP NEW,112.85000,0.010024,1
14541,20130115,CVX,CHEVRON CORP NEW,113.44000,0.005228,1
14541,20130116,CVX,CHEVRON CORP NEW,113.97000,0.004672,1
14541,20130117,CVX,CHEVRON CORP NEW,114.74000,0.006756,1
14541,20130118,CVX,CHEVRON CORP NEW,115.24000,0.004358,1
14541,20130122,CVX,CHEVRON CORP NEW,115.91000,0.005814,1
14541,20130123,CVX,CHEVRON CORP NEW,115.01000,-0.007765,1
14541,20130124,CVX,CHEVRON CORP NEW,115.50000,0.004260,1
14541,20130125,CVX,CHEVRON CORP NEW,116.20000,0.006061,1
14541,20130128,CVX,CHEVRON CORP NEW,116.04000,-0.001377,1
14541,20130129,CVX,CHEVRON CORP NEW,117.21000,0.010083,1
14541,20130130,CVX,CHEVRON CORP NEW,116.45000,-0.006484,1
14541,20130131,CVX,CHEVRON CORP NEW,115.15000,-0.011164,1
14541,20130201,CVX,CHEVRON CORP NEW,116.50000,0.011724,1
14541,20130204,CVX,CHEVRON CORP NEW,115.20000,-0.011159,1
14541,20130205,CVX,CHEVRON CORP NEW,115.81000,0.005295,1
14541,20130206,CVX,CHEVRON CORP NEW,115.91000,0.000864,1
14541,20130207,CVX,CHEVRON CORP NEW,115.02000,-0.007678,1
14541,20130208,CVX,CHEVRON CORP NEW,115.64000,0.005390,1
14541,20130211,CVX,CHEVRON CORP NEW,115.64000,0.000000,1
14541,20130212,CVX,CHEVRON CORP NEW,116.50000,0.007437,1
14541,20130213,CVX,CHEVRON CORP NEW,115.53000,-0.000601,1
14541,20130214,CVX,CHEVRON CORP NEW,115.71000,0.001558,1
14541,20130215,CVX,CHEVRON CORP NEW,114.96000,-0.006482,1
14541,20130219,CVX,CHEVRON CORP NEW,115.92000,0.008351,1
14541,20130220,CVX,CHEVRON CORP NEW,114.99000,-0.008023,1
14541,20130221,CVX,CHEVRON CORP NEW,114.99000,0.000000,1
14541,20130222,CVX,CHEVRON CORP NEW,115.96000,0.008436,1
14541,20130225,CVX,CHEVRON CORP NEW,113.54000,-0.020869,1
14541,20130226,CVX,CHEVRON CORP NEW,114.96000,0.012507,1
14541,20130227,CVX,CHEVRON CORP NEW,116.65000,0.014701,1
14541,20130228,CVX,CHEVRON CORP NEW,117.15000,0.004286,1
14541,20130301,CVX,CHEVRON CORP NEW,116.90000,-0.002134,1
14541,20130304,CVX,CHEVRON CORP NEW,117.49000,0.005047,1
14541,20130305,CVX,CHEVRON CORP NEW,117.93000,0.003745,1
14541,20130306,CVX,CHEVRON CORP NEW,118.47000,0.004579,1
14541,20130307,CVX,CHEVRON CORP NEW,118.56000,0.000760,1
14541,20130308,CVX,CHEVRON CORP NEW,118.57000,0.000084,1
14541,20130311,CVX,CHEVRON CORP NEW,118.73000,0.001349,1
14541,20130312,CVX,CHEVRON CORP NEW,118.25000,-0.004043,1
14541,20130313,CVX,CHEVRON CORP NEW,118.36000,0.000930,1
14541,20130314,CVX,CHEVRON CORP NEW,120.00000,0.013856,1
14541,20130315,CVX,CHEVRON CORP NEW,119.68000,-0.002667,1
14541,20130318,CVX,CHEVRON CORP NEW,119.13000,-0.004596,1
14541,20130319,CVX,CHEVRON CORP NEW,119.46000,0.002770,1
14541,20130320,CVX,CHEVRON CORP NEW,120.35000,0.007450,1
14541,20130321,CVX,CHEVRON CORP NEW,120.34000,-0.000083,1
14541,20130322,CVX,CHEVRON CORP NEW,121.18000,0.006980,1
14541,20130325,CVX,CHEVRON CORP NEW,120.18000,-0.008252,1
14541,20130326,CVX,CHEVRON CORP NEW,120.98000,0.006657,1
14541,20130327,CVX,CHEVRON CORP NEW,120.19000,-0.006530,1
14541,20130328,CVX,CHEVRON CORP NEW,118.82000,-0.011399,1
14541,20130401,CVX,CHEVRON CORP NEW,119.61000,0.006649,1
14541,20130402,CVX,CHEVRON CORP NEW,119.00000,-0.005100,1
14541,20130403,CVX,CHEVRON CORP NEW,117.78000,-0.010252,1
14541,20130404,CVX,CHEVRON CORP NEW,118.07000,0.002462,1
14541,20130405,CVX,CHEVRON CORP NEW,117.52000,-0.004658,1
