PERMNO,date,TICKER,COMNAM,PRC,RET,CFACPR
11850,19900131,XON,EXXON CORP,47.00000,-0.060000,4
11850,19900228,XON,EXXON CORP,47.00000,0.012766,4
11850,19900330,XON,EXXON CORP,46.12500,-0.018617,4
11850,19900430,XON,EXXON CORP,45.25000,-0.018970,4
11850,19900531,XON,EXXON CORP,48.00000,0.074033,4
11850,19900629,XON,EXXON CORP,47.87500,-0.002604,4
11850,19900731,XON,EXXON CORP,51.87500,0.083551,4
11850,19900831,XON,EXXON CORP,50.00000,-0.024578,4
11850,19900928,XON,EXXON CORP,49.00000,-0.020000,4
11850,19901031,XON,EXXON CORP,49.00000,0.000000,4
11850,19901130,XON,EXXON CORP,50.62500,0.046837,4
11850,19901231,XON,EXXON CORP,51.75000,0.022222,4
11850,19910131,XON,EXXON CORP,51.62500,-0.002415,4
11850,19910228,XON,EXXON CORP,55.12500,0.080775,4
11850,19910328,XON,EXXON CORP,58.50000,0.061224,4
11850,19910430,XON,EXXON CORP,59.50000,0.017094,4
11850,19910531,XON,EXXON CORP,58.25000,-0.009748,4
11850,19910628,XON,EXXON CORP,58.12500,-0.002146,4
11850,19910731,XON,EXXON CORP,59.37500,0.021505,4
11850,19910830,XON,EXXON CORP,58.25000,-0.007663,4
11850,19910930,XON,EXXON CORP,59.50000,0.021459,4
11850,19911031,XON,EXXON CORP,61.00000,0.025210,4
11850,19911129,XON,EXXON CORP,58.62500,-0.027951,4
11850,19911231,XON,EXXON CORP,60.87500,0.038380,4
11850,19920131,XON,EXXON CORP,58.25000,-0.043121,4
11850,19920228,XON,EXXON CORP,57.12500,-0.007811,4
11850,19920331,XON,EXXON CORP,54.75000,-0.041575,4
11850,19920430,XON,EXXON CORP,60.00000,0.095890,4
11850,19920529,XON,EXXON CORP,60.62500,0.022417,4
11850,19920630,XON,EXXON CORP,61.87500,0.020619,4
11850,19920731,XON,EXXON CORP,63.50000,0.026263,4
11850,19920831,XON,EXXON CORP,64.25000,0.023150,4
11850,19920930,XON,EXXON CORP,63.87500,-0.005837,4
11850,19921030,XON,EXXON CORP,61.25000,-0.041096,4
11850,19921130,XON,EXXON CORP,59.50000,-0.016816,4
11850,19921231,XON,EXXON CORP,61.12500,0.027311,4
11850,19930129,XON,EXXON CORP,61.12500,0.000000,4
11850,19930226,XON,EXXON CORP,63.62500,0.052679,4
11850,19930331,XON,EXXON CORP,66.12500,0.039293,4
11850,19930430,XON,EXXON CORP,66.00000,-0.001890,4
11850,19930528,XON,EXXON CORP,65.50000,0.003333,4
11850,19930630,XON,EXXON CORP,66.12500,0.009542,4
11850,19930730,XON,EXXON CORP,65.62500,-0.007561,4
11850,19930831,XON,EXXON CORP,65.37500,0.007162,4
11850,19930930,XON,EXXON CORP,65.50000,0.001912,4
11850,19931029,XON,EXXON CORP,65.37500,-0.001908,4
11850,19931130,XON,EXXON CORP,62.75000,-0.029140,4
11850,19931231,XON,EXXON CORP,63.12500,0.005976,4
11850,19940131,XON,EXXON CORP,66.50000,0.053465,4
11850,19940228,XON,EXXON CORP,64.87500,-0.013609,4
11850,19940331,XON,EXXON CORP,62.87500,-0.030829,4
11850,19940429,XON,EXXON CORP,62.87500,0.000000,4
11850,19940531,XON,EXXON CORP,61.12500,-0.016382,4
11850,19940630,XON,EXXON CORP,56.75000,-0.071575,4
11850,19940729,XON,EXXON CORP,59.50000,0.048458,4
11850,19940831,XON,EXXON CORP,59.50000,0.012101,4
11850,19940930,XON,EXXON CORP,57.50000,-0.033613,4
11850,19941031,XON,EXXON CORP,62.87500,0.093478,4
11850,19941130,XON,EXXON CORP,60.37500,-0.027833,4
11850,19941230,XON,EXXON CORP,60.75000,0.006211,4
11850,19950131,XON,EXXON CORP,62.50000,0.028807,4
11850,19950228,XON,EXXON CORP,63.87500,0.034000,4
11850,19950331,XON,EXXON CORP,66.62500,0.043053,4
11850,19950428,XON,EXXON CORP,69.50000,0.043152,4
11850,19950531,XON,EXXON CORP,71.37500,0.037770,4
11850,19950630,XON,EXXON CORP,70.62500,-0.010508,4
11850,19950731,XON,EXXON CORP,72.50000,0.026549,4
11850,19950831,XON,EXXON CORP,68.75000,-0.041379,4
11850,19950929,XON,EXXON CORP,72.25000,0.050909,4
11850,19951031,XON,EXXON CORP,76.37500,0.057093,4
11850,19951130,XON,EXXON CORP,77.37500,0.022913,4
11850,19951229,XON,EXXON CORP,81.12500,0.048465,4
11850,19960131,XON,EXXON CORP,80.25000,-0.010786,4
11850,19960229,XON,EXXON CORP,79.50000,0.000000,4
11850,19960329,XON,EXXON CORP,81.50000,0.025157,4
11850,19960430,XON,EXXON CORP,85.00000,0.042945,4
11850,19960531,XON,EXXON CORP,84.75000,0.006353,4
11850,19960628,XON,EXXON CORP,86.87500,0.025074,4
11850,19960731,XON,EXXON CORP,82.25000,-0.053237,4
11850,19960830,XON,EXXON CORP,81.50000,0.000486,4
11850,19960930,XON,EXXON CORP,83.25000,0.021472,4
11850,19961031,XON,EXXON CORP,88.62500,0.064565,4
11850,19961129,XON,EXXON CORP,94.37500,0.073794,4
11850,19961231,XON,EXXON CORP,98.00000,0.038411,4
11850,19970131,XON,EXXON CORP,103.62500,0.057398,4
11850,19970228,XON,EXXON CORP,100.25000,-0.024946,4
11850,19970331,XON,EXXON CORP,107.75000,0.074813,4
11850,19970430,XON,EXXON CORP,56.62500,0.051044,2
11850,19970530,XON,EXXON CORP,59.25000,0.053598,2
11850,19970630,XON,EXXON CORP,61.25000,0.033755,2
11850,19970731,XON,EXXON CORP,64.25000,0.048980,2
11850,19970829,XON,EXXON CORP,61.18750,-0.041284,2
11850,19970930,XON,EXXON CORP,64.06250,0.046987,2
11850,19971031,XON,EXXON CORP,61.43750,-0.040976,2
11850,19971128,XON,EXXON CORP,61.00000,-0.000448,2
11850,19971231,XON,EXXON CORP,61.18750,0.003074,2
11850,19980130,XON,EXXON CORP,59.31250,-0.030644,2
11850,19980227,XON,EXXON CORP,63.75000,0.081728,2
11850,19980331,XON,EXXON CORP,67.62500,0.060784,2
11850,19980430,XON,EXXON CORP,73.06250,0.080407,2
11850,19980529,XON,EXXON CORP,70.50000,-0.029461,2
11850,19980630,XON,EXXON CORP,71.37500,0.012411,2
11850,19980731,XON,EXXON CORP,70.25000,-0.015762,2
11850,19980831,XON,EXXON CORP,65.43750,-0.062669,2
11850,19980930,XON,EXXON CORP,70.62500,0.079274,2
11850,19981030,XON,EXXON CORP,71.62500,0.014159,2
11850,19981130,XON,EXXON CORP,75.00000,0.052845,2
11850,19981231,XON,EXXON CORP,73.12500,-0.025000,2
11850,19990129,XON,EXXON CORP,70.25000,-0.039316,2
11850,19990226,XON,EXXON CORP,66.56250,-0.046655,2
11850,19990331,XON,EXXON CORP,70.56250,0.060094,2
11850,19990430,XON,EXXON CORP,83.06250,0.177148,2
11850,19990528,XON,EXXON CORP,79.87500,-0.033439,2
11850,19990630,XON,EXXON CORP,77.12500,-0.034429,2
11850,19990730,XON,EXXON CORP,79.37500,0.029173,2
11850,19990831,XON,EXXON CORP,78.87500,-0.001134,2
11850,19990930,XON,EXXON CORP,76.00000,-0.036450,2
11850,19991029,XON,EXXON CORP,74.06250,-0.025493,2
11850,19991130,XON,EXXON CORP,79.31250,0.076827,2
11850,19991231,XOM,EXXON MOBIL CORP,80.56250,0.015760,2
11850,20000131,XOM,EXXON MOBIL CORP,83.43750,0.035687,2
11850,20000229,XOM,EXXON MOBIL CORP,75.31250,-0.092105,2
11850,20000331,XOM,EXXON MOBIL CORP,77.93750,0.034855,2
11850,20000428,XOM,EXXON MOBIL CORP,77.68750,-0.003208,2
11850,20000531,XOM,EXXON MOBIL CORP,83.31250,0.078069,2
11850,20000630,XOM,EXXON MOBIL CORP,78.50000,-0.057764,2
11850,20000731,XOM,EXXON MOBIL CORP,80.00000,0.019108,2
11850,20000831,XOM,EXXON MOBIL CORP,81.62500,0.025812,2
11850,20000929,XOM,EXXON MOBIL CORP,89.12500,0.091884,2
11850,20001031,XOM,EXXON MOBIL CORP,89.18750,0.000701,2
11850,20001130,XOM,EXXON MOBIL CORP,88.00000,-0.008381,2
11850,20001229,XOM,EXXON MOBIL CORP,86.93750,-0.012074,2
11850,20010131,XOM,EXXON MOBIL CORP,84.15000,-0.032063,2
11850,20010228,XOM,EXXON MOBIL CORP,81.05000,-0.031610,2
11850,20010330,XOM,EXXON MOBIL CORP,81.00000,-0.000617,2
11850,20010430,XOM,EXXON MOBIL CORP,88.60000,0.093827,2
11850,20010531,XOM,EXXON MOBIL CORP,88.75000,0.006659,2
11850,20010629,XOM,EXXON MOBIL CORP,87.35000,-0.015549,2
